with post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  147.053157783         1            N1H9O4C5  -9.99875737762e-11      0:00:00.424000
  133.037507719         7            N1H7O4C4  -3.79998255085e-10      0:00:00.263000
   204.08987764         6          N2H12O2C11   3.59989371645e-10      0:00:02.072000
   342.11621155        10           H22O11C12   1.79966264113e-10      0:00:28.241000
  347.282429439         4          N1H37O2C22  -3.79998255085e-10      0:00:29.207000
  253.146664238        16          N1H19O1C17                 0.0      0:00:05.665000
   272.11946321         2        S1N2H20O3C12  -4.20016021963e-10      0:00:08.134000
  400.370516165         8            H48O1C28  -1.80023107532e-10      0:00:59.346000
   441.13968138        15          N7H19O6C19   -6.0026650317e-11             0:01:38
  444.153265759        18          N2H24O8C22  -3.59989371645e-10      0:01:41.411000
  376.138284396         5          N4H20O6C17   3.59989371645e-10      0:00:42.626000
  194.080375587         6           N4H10O2C8  -4.39996483692e-10      0:00:01.545000
